seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1822775	1822848	74	*	X00258	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1822948	1823044	97	*	X00259	2782	1716725	1822526	105802	-	421	upstream	421	GNB1
chr1	1823165	1823299	135	*	X00260	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1845650	1845754	105	*	X00267	163688	1846266	1848733	2468	+	511	upstream	511	CALML6
chr1	1846372	1846413	42	*	X00268	163688	1846266	1848733	2468	+	0	inside	105	CALML6
chr1	1850715	1850864	150	*	X00270	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1850880	1851119	240	*	X00271	339456	1849029	1850740	1712	-	139	upstream	139	TMEM52
chr1	1852565	1852624	60	*	X00272	339456	1849029	1850740	1712	-	1824	upstream	1824	TMEM52
chr1	1935072	1935176	105	*	X00278	85452	1884752	1935276	50525	-	0	inside	99	CFAP74
chr1	1950963	1951009	47	*	X00279	2563	1950768	1962192	11425	+	0	inside	194	GABRD
chr1	1981357	1981416	60	*	X00285	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981718	97	*	X00286	5590	1981909	2116834	134926	+	190	upstream	190	PRKCZ
chr1	1982182	1982331	150	*	X00287	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2140486	2140710	225	*	X00311	199990	2115899	2139172	23274	-	1313	upstream	1313	FAAP20
chr1	2159701	2159705	5	*	X00314	6497	2160134	2241652	81519	+	428	upstream	428	SKI
chr1	2323483	2323752	270	*	X00350	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00350	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00359	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344174	2344263	90	*	X00360	5192	2336241	2344010	7770	-	163	upstream	163	PEX10
chr1	2344909	2345028	120	*	X00361	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2406025	2406174	150	*	X00374	9651	2407754	2436969	29216	+	1579	upstream	1579	PLCH2
chr1	2457713	2457877	165	*	X00386	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2459798	2459818	21	*	X00387	55229	2439975	2458035	18061	-	1762	upstream	1762	PANK4
chr1	2462499	2462542	44	*	X00388	388585	2460184	2461684	1501	-	814	upstream	814	HES5
chr1	2462663	2462711	49	*	X00389	388585	2460184	2461684	1501	-	978	upstream	978	HES5
chr1	2485185	2485249	65	*	X00398	115110	2481359	2484284	2926	-	900	upstream	900	TNFRSF14-AS1
chr1	2486508	2486612	105	*	X00399	8764	2487805	2495267	7463	+	1192	upstream	1192	TNFRSF14
chr1	2487031	2487077	47	*	X00400	8764	2487805	2495267	7463	+	727	upstream	727	TNFRSF14
chr1	2487318	2487482	165	*	X00401	8764	2487805	2495267	7463	+	322	upstream	322	TNFRSF14
chr1	2488578	2488667	90	*	X00402	100133445	2486163	2488450	2288	-	127	upstream	127	NA
chr1	2517495	2517614	120	*	X00406	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518379	270	*	X00407	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
chr1	2564949	2564952	4	*	X00421	79258	2522081	2564481	42401	-	467	upstream	467	MMEL1
chr1	2985160	2985263	104	*	X00431	63976	2985742	3355185	369444	+	478	upstream	478	PRDM16
chr1	2985160	2985263	104	*	X00431	440556	2976181	2984289	8109	-	870	upstream	870	PRDM16-DT
chr1	2985534	2985653	120	*	X00432	63976	2985742	3355185	369444	+	88	upstream	88	PRDM16
chr1	2985534	2985653	120	*	X00432	440556	2976181	2984289	8109	-	1244	upstream	1244	PRDM16-DT
chr1	3371163	3371189	27	*	X00447	27237	3371147	3397677	26531	+	0	inside	15	ARHGEF16
chr1	3527983	3528148	166	*	X00461	1953	3404506	3528059	123554	-	0	overlapStart	0	MEGF6
chr1	3541703	3542003	301	*	X00462	127262	3541556	3546694	5139	+	0	inside	146	TPRG1L
chr1	3663507	3663656	150	*	X00480	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3663987	3664121	135	*	X00481	57212	3652548	3663937	11390	-	49	upstream	49	TP73-AS1
chr1	3688852	3688941	90	*	X00483	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688950	3689010	61	*	X00484	388588	3689334	3692546	3213	+	323	upstream	323	SMIM1
chr1	3689160	3689234	75	*	X00485	388588	3689334	3692546	3213	+	99	upstream	99	SMIM1
chr1	3713211	3713330	120	*	X00496	57470	3696784	3713068	16285	-	142	upstream	142	LRRC47
chr1	3774387	3774566	180	*	X00498	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3816553	3816732	180	*	X00500	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00500	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816882	60	*	X00501	100133612	3816968	3833879	16912	+	85	upstream	85	LINC01134
chr1	3816823	3816882	60	*	X00501	339448	3805697	3816857	11161	-	0	overlapStart	0	C1orf174
chr1	3817439	3817573	135	*	X00502	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817963	240	*	X00503	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	6051104	6051223	120	*	X00524	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6051809	6052158	350	*	X00525	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052784	6052873	90	*	X00526	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	6052954	6053358	405	*	X00527	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6053574	6053798	225	*	X00528	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6054159	6054263	105	*	X00529	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6240144	6240203	60	*	X00540	26038	6161847	6240194	78348	-	0	overlapStart	0	CHD5
chr1	6265074	6265193	120	*	X00541	388591	6266189	6281359	15171	+	995	upstream	995	RNF207
chr1	6265485	6265574	90	*	X00542	388591	6266189	6281359	15171	+	614	upstream	614	RNF207
chr1	6296092	6296146	55	*	X00557	23463	6281253	6296044	14792	-	47	upstream	47	ICMT
chr1	6296186	6296196	11	*	X00558	23463	6281253	6296044	14792	-	141	upstream	141	ICMT
chr1	6297975	6298034	60	*	X00559	23463	6281253	6296044	14792	-	1930	upstream	1930	ICMT
chr1	6321163	6321237	75	*	X00564	387509	6307406	6321035	13630	-	127	upstream	127	GPR153
chr1	6321673	6321846	174	*	X00565	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6453436	6453586	151	*	X00588	11332	6324332	6453826	129495	-	0	inside	239	ACOT7
chr1	6453872	6453976	105	*	X00589	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6483818	6483982	165	*	X00593	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00594	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	6484824	6484852	29	*	X00595	83715	6484848	6521004	36157	+	0	overlapStart	0	ESPN
chr1	6484824	6484852	29	*	X00595	54626	6472498	6484730	12233	-	93	upstream	93	HES2
chr1	6490088	6490267	180	*	X00596	100422975	6489894	6489956	63	-	131	upstream	131	MIR4252
chr1	6526362	6526430	69	*	X00601	8718	6521214	6526255	5042	-	106	upstream	106	TNFRSF25
chr1	6640183	6640317	135	*	X00619	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X00620	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6662957	6663076	120	*	X00625	9903	6650779	6662929	12151	-	27	upstream	27	KLHL21
chr1	6673307	6673576	270	*	X00626	148479	6673756	6684093	10338	+	179	upstream	179	PHF13
chr1	6673761	6673831	71	*	X00627	148479	6673756	6684093	10338	+	0	inside	4	PHF13
chr1	6673963	6674735	773	*	X00628	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6844744	6844863	120	*	X00635	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	6845550	6845598	49	*	X00636	23261	6845384	7829766	984383	+	0	inside	165	CAMTA1
chr1	6845629	6845753	125	*	X00637	23261	6845384	7829766	984383	+	0	inside	244	CAMTA1
chr1	7830942	7831076	135	*	X00657	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831316	135	*	X00658	9341	7831329	7841492	10164	+	12	upstream	12	VAMP3
chr1	7843482	7843691	210	*	X00659	8863	7844380	7905237	60858	+	688	upstream	688	PER3
chr1	8085996	8086220	225	*	X00662	54206	8071779	8086393	14615	-	0	inside	172	ERRFI1
chr1	8877300	8877419	120	*	X00671	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X00672	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189201	9189209	9	*	X00679	80045	9164476	9189229	24754	-	0	inside	19	GPR157
chr1	9189471	9189755	285	*	X00680	80045	9164476	9189229	24754	-	241	upstream	241	GPR157
chr1	9648594	9648635	42	*	X00700	199953	9648932	9674935	26004	+	296	upstream	296	TMEM201
chr1	9648737	9648743	7	*	X00701	199953	9648932	9674935	26004	+	188	upstream	188	TMEM201
chr1	9648822	9648956	135	*	X00702	199953	9648932	9674935	26004	+	0	overlapStart	0	TMEM201
chr1	9884157	9884375	219	*	X00728	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	9969998	9970087	90	*	X00735	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970589	9970792	204	*	X00736	56998	9908334	9970316	61983	-	272	upstream	272	CTNNBIP1
chr1	10057136	10057270	135	*	X00737	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057511	10057645	135	*	X00738	116362	10057255	10076078	18824	+	0	inside	255	RBP7
chr1	10093060	10093284	225	*	X00739	10277	10093041	10241296	148256	+	0	inside	18	UBE4B
chr1	10458959	10459048	90	*	X00741	5226	10459085	10480201	21117	+	36	upstream	36	PGD
chr1	10532191	10532325	135	*	X00744	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10534932	10535265	334	*	X00745	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10856777	10856791	15	*	X00765	54897	10696666	10856733	160068	-	43	upstream	43	CASZ1
chr1	10856831	10856911	81	*	X00766	54897	10696666	10856733	160068	-	97	upstream	97	CASZ1
chr1	11072269	11072388	120	*	X00773	23435	11072679	11085549	12871	+	290	upstream	290	TARDBP
chr1	11119965	11120129	165	*	X00780	6723	11114649	11120091	5443	-	0	overlapStart	0	SRM
chr1	11120850	11120969	120	*	X00781	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160022	11160156	135	*	X00783	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11322310	11322414	105	*	X00786	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11333220	11333232	13	*	X00787	29914	11333255	11348491	15237	+	22	upstream	22	UBIAD1
chr1	11538823	11538942	120	*	X00789	57540	11539295	11597640	58346	+	352	upstream	352	DISP3
chr1	11714999	11715137	139	*	X00800	26232	11708418	11714888	6471	-	110	upstream	110	FBXO2
chr1	11714868	11714874	7	*	X00801	26232	11708418	11714888	6471	-	0	inside	13	FBXO2
chr1	11715153	11715407	255	*	X00802	26232	11708418	11714888	6471	-	264	upstream	264	FBXO2
chr1	11724335	11724679	345	*	X00805	26270	11724150	11734409	10260	+	0	inside	184	FBXO6
chr1	11751106	11751237	132	*	X00809	374946	11751781	11780336	28556	+	543	upstream	543	DRAXIN
chr1	11864961	11865080	120	*	X00832	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X00833	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X00833	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11907794	11907806	13	*	X00835	4878	11905767	11907840	2074	-	0	inside	33	NPPA
chr1	11994695	11994799	105	*	X00844	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X00845	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12078995	12079001	7	*	X00854	60672	12079299	12092106	12808	+	297	upstream	297	MIIP
chr1	12226942	12227001	60	*	X00871	7133	12227060	12269277	42218	+	58	upstream	58	TNFRSF1B
chr1	12565802	12565930	129	*	X00888	677882	12567300	12567451	152	+	1369	upstream	1369	SNORA59B
chr1	12679687	12679806	120	*	X00903	9249	12627939	12677820	49882	-	1866	upstream	1866	DHRS3
chr1	15480115	15480355	241	*	X00919	200197	15438311	15478960	40650	-	1154	upstream	1154	TMEM51-AS1
chr1	15573237	15573311	75	*	X00921	114827	15573768	15726778	153011	+	456	upstream	456	FHAD1
chr1	15573912	15574106	195	*	X00922	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15851073	15851395	323	*	X00937	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15851073	15851395	323	*	X00937	23341	15853352	15918874	65523	+	1956	upstream	1956	DNAJC16
chr1	15851472	15851719	248	*	X00938	842	15817324	15851285	33962	-	186	upstream	186	CASP9
chr1	15851472	15851719	248	*	X00938	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X00939	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00939	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00940	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00940	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X00941	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X00943	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X00944	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16009629	16009831	203	*	X00945	23207	16010827	16061264	50438	+	995	upstream	995	PLEKHM2
chr1	16009923	16010784	862	*	X00946	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16061753	16061872	120	*	X00949	284723	16062809	16067884	5076	+	936	upstream	936	SLC25A34
chr1	16062068	16062187	120	*	X00950	284723	16062809	16067884	5076	+	621	upstream	621	SLC25A34
chr1	16062507	16062532	26	*	X00951	284723	16062809	16067884	5076	+	276	upstream	276	SLC25A34
chr1	16068806	16068970	165	*	X00953	388595	16068987	16074292	5306	+	16	upstream	16	TMEM82
chr1	16069001	16069180	180	*	X00954	388595	16068987	16074292	5306	+	0	inside	13	TMEM82
chr1	16174985	16175044	60	*	X00964	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X00965	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X00966	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X00968	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16353546	16353680	135	*	X00976	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16354871	16354985	115	*	X00977	1188	16355621	16383821	28201	+	635	upstream	635	CLCNKB
chr1	16355031	16355165	135	*	X00978	1188	16355621	16383821	28201	+	455	upstream	455	CLCNKB
chr1	16400313	16400402	90	*	X00985	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	16539125	16539244	120	*	X01009	128272	16524599	16539104	14506	-	20	upstream	20	ARHGEF19
chr1	16563740	16563814	75	*	X01016	79363	16558182	16563659	5478	-	80	upstream	80	CPLANE2
chr1	16693696	16693815	120	*	X01018	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17046318	17046452	135	*	X01028	284729	17017713	17046652	28940	-	0	inside	199	ESPNP
chr1	17445967	17446071	105	*	X01048	11240	17393256	17445948	52693	-	18	upstream	18	PADI2
chr1	17446538	17446637	100	*	X01049	11240	17393256	17445948	52693	-	589	upstream	589	PADI2
chr1	17765870	17765959	90	*	X01061	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766364	150	*	X01062	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	17767158	17767277	120	*	X01063	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18957213	18957332	120	*	X01084	5081	18957500	19075360	117861	+	167	upstream	167	PAX7
chr1	19283102	19283163	62	*	X01107	126917	19230774	19282826	52053	-	275	upstream	275	IFFO2
chr1	19283807	19283896	90	*	X01108	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19600835	19600954	120	*	X01115	246181	19592476	19600568	8093	-	266	upstream	266	AKR7L
chr1	19637168	19637287	120	*	X01117	54896	19638740	19658922	20183	+	1452	upstream	1452	SLC66A1
chr1	19637976	19638335	360	*	X01118	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X01126	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X01127	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	19991169	19991258	90	*	X01130	3362	19991780	20006055	14276	+	521	upstream	521	HTR6
chr1	19991638	19991718	81	*	X01131	3362	19991780	20006055	14276	+	61	upstream	61	HTR6
chr1	20512401	20512496	96	*	X01141	127733	20512578	20519942	7365	+	81	upstream	81	UBXN10
chr1	20812318	20812722	405	*	X01152	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X01153	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	20879086	20879205	120	*	X01154	163933	20878932	20881513	2582	+	0	inside	153	FAM43B
chr1	20915239	20915351	113	*	X01155	978	20915444	20945400	29957	+	92	upstream	92	CDA
chr1	21044298	21044417	120	*	X01163	57576	20990507	21044317	53811	-	0	overlapStart	0	KIF17
chr1	21113449	21113523	75	*	X01170	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21672718	21672807	90	*	X01187	1889	21543740	21672034	128295	-	683	upstream	683	ECE1
chr1	21995313	21995642	330	*	X01218	5909	21922708	21995856	73149	-	0	inside	213	RAP1GAP
chr1	22263353	22263502	150	*	X01262	3339	22148737	22263750	115014	-	0	inside	247	HSPG2
chr1	22379391	22379570	180	*	X01264	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	22470088	22470192	105	*	X01272	54361	22443798	22470385	26588	-	0	inside	192	WNT4
chr1	22979623	22979742	120	*	X01285	713	22979682	22988029	8348	+	0	overlapStart	0	C1QB
chr1	23036564	23036773	210	*	X01288	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23036834	23036983	150	*	X01289	2048	23037331	23241823	204493	+	347	upstream	347	EPHB2
chr1	23345295	23345444	150	*	X01297	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X01304	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X01305	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671815	105	*	X01306	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X01307	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X01308	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23810660	23811289	630	*	X01321	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23857735	23857839	105	*	X01326	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	23886254	23886403	150	*	X01333	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	23886764	23886868	105	*	X01334	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	24104766	24104815	50	*	X01344	57095	24104876	24114722	9847	+	60	upstream	60	PITHD1
chr1	24104766	24104815	50	*	X01344	100506963	24086872	24104787	17916	-	0	overlapStart	0	ELOA-AS1
chr1	24105187	24105321	135	*	X01345	100506963	24086872	24104787	17916	-	399	upstream	399	ELOA-AS1
chr1	24105831	24105950	120	*	X01346	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24117796	24118065	270	*	X01347	11313	24117646	24122029	4384	+	0	inside	149	LYPLA2
chr1	24126996	24127340	345	*	X01356	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24165067	24165201	135	*	X01358	3155	24128367	24165110	36744	-	0	overlapStart	0	HMGCL
chr1	24285739	24285948	210	*	X01360	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24469655	24469789	135	*	X01362	58985	24446261	24469775	23515	-	0	overlapStart	0	IL22RA1
chr1	24513630	24513809	180	*	X01363	163702	24480647	24513765	33119	-	0	overlapStart	0	IFNLR1
chr1	24645553	24645775	223	*	X01365	57822	24645812	24690970	45159	+	36	upstream	36	GRHL3
chr1	24828721	24828840	120	*	X01366	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	24828721	24828840	120	*	X01366	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24829208	24829297	90	*	X01367	100750325	24822823	24828850	6028	-	357	upstream	357	RCAN3AS
chr1	24882553	24882638	86	*	X01369	400746	24882567	24935818	53252	+	0	overlapStart	0	NCMAP
chr1	24882774	24882953	180	*	X01370	400746	24882567	24935818	53252	+	0	inside	206	NCMAP
chr1	24968541	24968630	90	*	X01373	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
